model,score_cv,score_test,score_train,tags,hidden_layer_sizes
linear MLP,0.06764703748590596,0.0698643044386891,0.06807237920833777,hidden_layer_sizes=10,10
polynomial MLP,0.06970396918989942,0.07277056892600403,0.07086606209772461,hidden_layer_sizes=10,10
polynomial MLP,0.06731323458399792,0.06968201386610039,0.06791632358505198,hidden_layer_sizes=50,50
linear MLP,0.06923325579045922,0.06962181924001638,0.06791122821747016,hidden_layer_sizes=50,50
polynomial MLP,0.06810968951920274,0.06992190177017121,0.06812244844804362,hidden_layer_sizes=100,100
linear MLP,0.06922973332379385,0.07053623778634557,0.06869238238982556,hidden_layer_sizes=100,100
linear MLP,0.06722312711862435,0.0698977476562577,0.06825602911726654,hidden_layer_sizes=200,200
polynomial MLP,0.06792294183083251,0.06969618119642437,0.06792772858082669,hidden_layer_sizes=200,200
polynomial MLP,0.06763057412152047,0.07025471969144563,0.06842714535212663,hidden_layer_sizes=300,300
linear MLP,0.06799069528945381,0.07292457883305889,0.07101683165311622,hidden_layer_sizes=300,300
linear MLP,0.06796042209611523,0.0699271649153407,0.0681272550350102,hidden_layer_sizes=400,400
polynomial MLP,0.0688136785369914,0.06963453790476823,0.06793044071816005,hidden_layer_sizes=400,400
